player_id,player_name,recent_team,position,week,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,fantasy_points,passing_epa,rushing_epa,receiving_epa,target_share,air_yards_share,wopr,result
00-0031868,D.Byrd,ATL,WR,8,CAR,0,0,0.0,0,0.0,0,0.0,0,3,67.0,1,12.7,,,-1.2975355,0.21428572,0.6229508,0.75749415,0.0
00-0031868,D.Byrd,ATL,WR,9,LAC,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,,,-0.9037874,0.04347826,0.037900876,0.09174801,1.0
00-0031868,D.Byrd,ATL,WR,10,CAR,0,0,0.0,0,0.0,0,0.0,0,3,58.0,0,5.8,,,5.069493,0.13793103,0.16,0.31889656,0.0
00-0031868,D.Byrd,ATL,WR,11,CHI,0,0,0.0,0,0.0,0,0.0,0,2,29.0,0,2.9,,,2.741521,0.11111111,0.125,0.25416666,0.0
00-0031868,D.Byrd,ATL,WR,13,PIT,0,0,0.0,0,0.0,0,0.0,0,1,12.0,0,1.2,,,-0.624591,0.041666668,0.021390375,0.07747326,0.0
00-0031868,D.Byrd,ATL,WR,15,NO,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,,,-0.8397997,0.03846154,0.016877636,0.06950665,0.0
00-0031868,D.Byrd,ATL,WR,16,BAL,0,0,0.0,0,0.0,0,0.0,0,1,15.0,0,1.5,,,-1.7912397,0.06451613,0.22,0.2507742,0.0
00-0031868,D.Byrd,ATL,WR,17,ARI,0,0,0.0,0,0.0,0,0.0,0,1,12.0,0,1.2,,,0.8207419,0.08,0.38345864,0.38842106,1.0
00-0031868,D.Byrd,ATL,WR,18,TB,0,0,0.0,0,0.0,0,0.0,0,1,0.0,0,0.0,,,-0.610524,0.035714287,0.0,0.05357143,0.0
00-0032268,M.Mariota,ATL,QB,1,NO,20,33,215.0,0,0.0,12,72.0,1,0,0.0,0,19.8,5.021303,-1.7450473,,,,,0.0
00-0032268,M.Mariota,ATL,QB,2,LA,17,26,196.0,2,2.0,6,16.0,0,0,0.0,0,13.44,-2.7201893,-1.0855281,,,,,1.0
00-0032268,M.Mariota,ATL,QB,3,SEA,13,20,229.0,1,1.0,7,4.0,1,0,0.0,0,15.56,14.931651,-5.0302105,,,,,1.0
00-0032268,M.Mariota,ATL,QB,4,CLE,7,19,139.0,0,1.0,5,3.0,0,0,0.0,0,3.86,-5.134306,0.76538163,,,,,0.0
00-0032268,M.Mariota,ATL,QB,5,TB,14,25,147.0,1,0.0,7,61.0,0,0,0.0,0,17.98,-2.4800498,5.526579,,,,,1.0
00-0032268,M.Mariota,ATL,QB,6,SF,13,14,129.0,2,0.0,6,50.0,1,0,0.0,0,24.16,5.2091427,4.0984554,,,,,1.0
00-0032268,M.Mariota,ATL,QB,7,CIN,8,13,124.0,1,0.0,6,31.0,0,0,0.0,0,12.06,1.1048316,0.3868665,,,,,1.0
00-0032268,M.Mariota,ATL,QB,8,CAR,20,28,253.0,3,2.0,6,43.0,0,0,0.0,0,22.42,6.234059,1.1352401,,,,,0.0
00-0032268,M.Mariota,ATL,QB,9,LAC,12,23,129.0,0,0.0,5,24.0,0,0,0.0,0,7.56,-0.44220906,0.66759473,,,,,1.0
00-0032268,M.Mariota,ATL,QB,10,CAR,19,30,186.0,2,1.0,3,43.0,0,0,0.0,0,17.74,-7.5052695,3.8083522,,,,,0.0
00-0032268,M.Mariota,ATL,QB,11,CHI,13,20,131.0,1,0.0,13,25.0,1,0,0.0,0,17.74,1.5453169,-4.0553493,,,,,0.0
00-0032268,M.Mariota,ATL,QB,12,WAS,15,25,174.0,1,1.0,6,49.0,0,0,0.0,0,13.86,-4.720275,3.380327,,,,,1.0
00-0032268,M.Mariota,ATL,QB,13,PIT,13,24,167.0,1,1.0,3,17.0,0,0,0.0,0,10.38,-4.9903703,2.041112,,,,,0.0
00-0033455,A.Firkser,ATL,TE,1,NO,0,0,0.0,0,0.0,0,0.0,0,1,6.0,0,0.6,,,-1.7812285,0.0625,0.028368793,0.11360816,0.0
00-0033455,A.Firkser,ATL,TE,3,SEA,0,0,0.0,0,0.0,0,0.0,0,1,22.0,0,2.2,,,1.527961,0.05263158,0.045454547,0.11076555,1.0
00-0033455,A.Firkser,ATL,TE,5,TB,0,0,0.0,0,0.0,0,0.0,0,1,11.0,0,1.1,,,2.260065,0.041666668,0.051643193,0.09865023,1.0
00-0033455,A.Firkser,ATL,TE,12,WAS,0,0,0.0,0,0.0,0,0.0,0,1,16.0,0,1.6,,,1.0658942,0.041666668,0.07857143,0.1175,1.0
00-0033455,A.Firkser,ATL,TE,13,PIT,0,0,0.0,0,0.0,0,0.0,0,2,24.0,0,2.4,,,1.201899,0.083333336,0.050802138,0.1605615,0.0
00-0033455,A.Firkser,ATL,TE,15,NO,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,,,-2.9986403,0.07692308,0.09282701,0.18036352,0.0
00-0033455,A.Firkser,ATL,TE,16,BAL,0,0,0.0,0,0.0,0,0.0,0,2,10.0,0,1.0,,,-2.121261,0.09677419,0.06,0.1871613,0.0
00-0033455,A.Firkser,ATL,TE,18,TB,0,0,0.0,0,0.0,0,0.0,0,1,11.0,0,1.1,,,3.359062,0.035714287,0.032934133,0.07662532,0.0
00-0034360,L.Carter,ATL,OLB,2,ATL,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,6.0,,,,,,,1.0
00-0034854,K.Hodge,ATL,WR,1,NO,0,0,0.0,0,0.0,0,0.0,0,3,38.0,0,3.8,,,1.7216843,0.09375,0.088652484,0.20268174,0.0
00-0034854,K.Hodge,ATL,WR,2,LA,0,0,0.0,0,0.0,0,0.0,0,2,57.0,0,5.7,,,4.3513722,0.12,0.18316832,0.30821782,1.0
00-0034854,K.Hodge,ATL,WR,4,CLE,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,,,-0.88981146,0.055555556,0.09166667,0.1475,0.0
00-0034854,K.Hodge,ATL,WR,5,TB,0,0,0.0,0,0.0,0,0.0,0,3,33.0,0,5.3,,,1.7906942,0.20833333,0.16431925,0.42752346,1.0
00-0034854,K.Hodge,ATL,WR,9,LAC,0,0,0.0,0,0.0,0,0.0,0,1,19.0,0,1.9,,,1.5597037,0.08695652,0.08746356,0.19165927,1.0
00-0034854,K.Hodge,ATL,WR,10,CAR,0,0,0.0,0,0.0,0,0.0,0,2,37.0,1,9.7,,,4.277519,0.06896552,0.10285714,0.17544827,0.0
00-0034854,K.Hodge,ATL,WR,11,CHI,0,0,0.0,0,0.0,0,0.0,0,1,13.0,0,1.3,,,1.2779541,0.055555556,0.125,0.17083333,0.0
00-0034854,K.Hodge,ATL,WR,13,PIT,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,,,-1.9159633,0.083333336,0.17379679,0.24665776,0.0
00-0034854,K.Hodge,ATL,WR,17,ARI,0,0,0.0,0,0.0,0,0.0,0,1,5.0,0,0.5,,,0.33677366,0.04,0.037593983,0.08631579,1.0
00-0035208,O.Zaccheaus,ATL,WR,1,NO,0,0,0.0,0,0.0,0,0.0,0,4,49.0,0,2.9,,,-3.296279,0.125,0.13829787,0.28430852,0.0
00-0035208,O.Zaccheaus,ATL,WR,2,LA,0,0,0.0,0,0.0,0,0.0,0,2,21.0,1,8.1,,,2.7284834,0.08,0.074257426,0.1719802,1.0
00-0035208,O.Zaccheaus,ATL,WR,3,SEA,0,0,0.0,0,0.0,0,0.0,0,2,49.0,0,4.9,,,4.884873,0.10526316,0.1590909,0.26925838,1.0
00-0035208,O.Zaccheaus,ATL,WR,4,CLE,0,0,0.0,0,0.0,0,0.0,0,2,55.0,0,5.5,,,6.0707617,0.11111111,0.14583333,0.26875,0.0
00-0035208,O.Zaccheaus,ATL,WR,5,TB,0,0,0.0,0,0.0,0,0.0,0,2,39.0,1,9.9,,,3.9369016,0.16666667,0.18309858,0.378169,1.0
